,player,kit,team,x,y,endx,endy,event,outcome,time
527,Michael Keane,5,31,57.5,67.4,61.3,13.7,Pass,Successful,30
528,Ben Godfrey,22,31,61.3,13.3,0.0,0.0,BallTouch,Unsuccessful,30
529,Luke Shaw,23,32,33.9,100.0,30.8,69.3,Pass,Successful,31
530,Scott McTominay,39,32,30.1,62.3,31.1,22.9,Pass,Successful,31
531,Aaron Wan-Bissaka,29,32,35.1,21.4,31.8,41.5,Pass,Successful,31
532,Victor Lindelöf,2,32,37.9,46.4,44.5,71.0,Pass,Successful,31
533,Raphaël Varane,19,32,44.5,71.0,66.1,97.2,Pass,Successful,31
534,Anthony Martial,9,32,66.4,96.6,65.9,95.6,Pass,Unsuccessful,31
535,Andros Townsend,14,31,36.6,2.6,0.0,0.0,BlockedPass,Successful,31
536,Luke Shaw,23,32,68.7,100.0,69.2,87.5,Pass,Successful,31
537,Bruno Fernandes,18,32,69.2,87.5,60.5,56.1,Pass,Successful,31
538,Scott McTominay,39,32,57.5,46.4,59.4,27.5,Pass,Successful,31
539,Aaron Wan-Bissaka,29,32,69.2,41.3,75.0,44.2,Pass,Successful,31
540,Edinson Cavani,21,32,75.0,44.2,82.2,30.4,Pass,Unsuccessful,31
541,Lucas Digne,12,31,21.4,72.6,32.7,74.0,Pass,Unsuccessful,31
542,Fred,17,32,72.7,33.2,79.5,5.3,Pass,Successful,31
543,Mason Greenwood,11,32,79.5,5.3,0.0,0.0,BallTouch,Unsuccessful,31
544,Lucas Digne,12,31,19.9,92.9,39.4,86.7,Pass,Successful,31
545,Salomón Rondón,33,31,39.8,86.1,0.0,0.0,BallRecovery,Successful,31
546,Salomón Rondón,33,31,39.8,86.1,32.6,77.3,Pass,Successful,31
547,Abdoulaye Doucouré,16,31,32.7,77.1,37.5,96.5,Pass,Successful,31
548,Anthony Gordon,24,31,53.7,90.5,64.9,97.1,Pass,Successful,31
549,Demarai Gray,11,31,78.4,93.0,90.3,84.9,Pass,Successful,31
550,Anthony Gordon,24,31,92.7,84.5,92.8,81.2,Pass,Unsuccessful,32
551,Aaron Wan-Bissaka,29,32,7.1,14.6,0.0,0.0,BallTouch,Successful,32
552,Fred,17,32,11.3,39.5,0.0,0.0,BallRecovery,Successful,32
553,Fred,17,32,11.3,39.5,9.7,29.5,Pass,Successful,32
554,Victor Lindelöf,2,32,9.7,29.5,24.8,24.7,Pass,Successful,32
555,Bruno Fernandes,18,32,24.8,24.7,24.4,41.8,Pass,Successful,32
556,Fred,17,32,24.4,41.8,23.2,34.0,Pass,Successful,32
557,Scott McTominay,39,32,23.2,34.0,39.5,31.1,Pass,Successful,32
558,Bruno Fernandes,18,32,39.5,31.1,56.3,11.0,Pass,Unsuccessful,32
559,Lucas Digne,12,31,45.0,86.6,62.5,66.5,Pass,Successful,32
560,Demarai Gray,11,31,62.7,65.3,0.0,0.0,BallRecovery,Successful,32
561,Demarai Gray,11,31,63.8,61.3,0.0,0.0,TakeOn,Successful,32
562,Fred,17,32,36.2,38.7,0.0,0.0,Challenge,Unsuccessful,32
563,Demarai Gray,11,31,75.9,41.3,0.0,0.0,SavedShot,Successful,32
564,David de Gea,1,32,3.6,49.7,0.0,0.0,Save,Successful,32
565,Salomón Rondón,33,31,93.5,81.2,80.6,91.7,Pass,Successful,32
566,Anthony Gordon,24,31,78.4,91.4,52.2,92.6,Pass,Successful,32
567,Lucas Digne,12,31,48.3,90.5,36.6,53.9,Pass,Successful,32
568,Michael Keane,5,31,36.4,53.4,43.8,26.2,Pass,Successful,32
569,Yerry Mina,13,31,53.4,23.3,73.0,0.0,Pass,Unsuccessful,32
570,Luke Shaw,23,32,26.6,100.0,30.4,90.0,Pass,Successful,32
571,Fred,17,32,32.4,89.2,0.0,0.0,Foul,Successful,32
572,Demarai Gray,11,31,67.6,10.8,0.0,0.0,Foul,Unsuccessful,32
573,Luke Shaw,23,32,30.4,90.0,30.1,29.3,Pass,Successful,33
574,Victor Lindelöf,2,32,30.1,29.3,40.6,9.8,Pass,Successful,33
575,Aaron Wan-Bissaka,29,32,52.6,13.0,56.4,5.9,Pass,Successful,33
576,Mason Greenwood,11,32,56.4,5.9,70.9,14.8,Pass,Successful,33
577,Scott McTominay,39,32,70.9,14.8,70.0,3.5,Pass,Successful,33
578,Aaron Wan-Bissaka,29,32,71.8,2.4,0.0,0.0,TakeOn,Unsuccessful,33
579,Allan,6,31,28.2,97.6,0.0,0.0,Tackle,Successful,33
580,Lucas Digne,12,31,31.0,97.1,0.0,0.0,BallRecovery,Successful,33
581,Lucas Digne,12,31,33.5,97.2,51.2,95.1,Pass,Successful,33
582,Anthony Gordon,24,31,63.0,91.6,0.0,0.0,Foul,Successful,33
583,Mason Greenwood,11,32,37.0,8.4,0.0,0.0,Foul,Unsuccessful,33
584,Mason Greenwood,11,32,0.0,0.0,0.0,0.0,Card,Successful,33
585,Lucas Digne,12,31,67.2,93.8,86.7,59.3,Pass,Unsuccessful,34
586,Scott McTominay,39,32,14.3,44.5,33.7,21.2,Clearance,Successful,34
587,Mason Greenwood,11,32,33.8,25.5,0.0,0.0,Foul,Successful,34
588,Demarai Gray,11,31,66.2,74.5,0.0,0.0,Foul,Unsuccessful,34
589,Victor Lindelöf,2,32,34.1,32.6,41.0,68.6,Pass,Successful,35
590,Raphaël Varane,19,32,55.8,79.1,61.1,66.8,Pass,Successful,35
591,Bruno Fernandes,18,32,60.7,63.8,48.2,58.4,Pass,Successful,35
592,Fred,17,32,47.9,58.1,62.1,93.3,Pass,Successful,35
593,Luke Shaw,23,32,63.7,93.6,70.1,96.2,Pass,Successful,35
594,Anthony Martial,9,32,70.1,96.2,66.4,85.5,Pass,Successful,35
595,Edinson Cavani,21,32,66.4,85.5,74.2,83.4,Pass,Successful,35
596,Luke Shaw,23,32,74.2,83.4,0.0,0.0,BallTouch,Unsuccessful,35
597,Yerry Mina,13,31,22.2,23.5,0.0,0.0,BallRecovery,Successful,35
598,Yerry Mina,13,31,22.2,23.5,50.5,12.2,Pass,Unsuccessful,35
599,Raphaël Varane,19,32,49.8,87.9,47.2,96.6,Pass,Unsuccessful,35
600,Salomón Rondón,33,31,55.0,4.9,46.6,13.7,Pass,Successful,35
601,Abdoulaye Doucouré,16,31,46.5,13.9,55.4,4.4,Pass,Successful,35
602,Andros Townsend,14,31,90.8,13.0,85.9,48.7,Pass,Successful,35
603,Abdoulaye Doucouré,16,31,85.2,48.7,0.0,0.0,SavedShot,Successful,35
604,Aaron Wan-Bissaka,29,32,8.8,47.2,0.0,0.0,Save,Successful,35
605,Bruno Fernandes,18,32,22.0,79.4,0.0,0.0,BallRecovery,Successful,35
606,Bruno Fernandes,18,32,22.9,81.3,14.1,78.2,Pass,Successful,35
607,Raphaël Varane,19,32,14.1,78.2,28.1,73.5,Pass,Successful,35
608,Edinson Cavani,21,32,28.1,73.5,23.6,71.4,Pass,Successful,35
609,Fred,17,32,23.7,71.6,35.0,96.9,Pass,Successful,35
610,Anthony Martial,9,32,53.6,92.4,67.4,97.7,Pass,Successful,35
611,Bruno Fernandes,18,32,68.1,97.2,93.5,77.6,Pass,Unsuccessful,35
612,Michael Keane,5,31,9.8,19.9,0.0,0.0,BallRecovery,Successful,35
613,Michael Keane,5,31,5.2,16.1,33.7,0.0,Pass,Unsuccessful,35
614,Luke Shaw,23,32,75.0,100.0,56.2,90.3,Pass,Successful,36
615,Raphaël Varane,19,32,56.2,90.3,63.6,50.0,Pass,Successful,36
616,Scott McTominay,39,32,64.2,43.1,69.6,18.2,Pass,Successful,36
617,Aaron Wan-Bissaka,29,32,73.2,10.7,77.2,5.3,Pass,Successful,36
618,Mason Greenwood,11,32,74.5,7.1,71.1,37.7,Pass,Successful,36
619,Fred,17,32,72.8,40.1,79.0,42.4,Pass,Successful,36
620,Edinson Cavani,21,32,79.0,42.4,75.2,46.1,Pass,Successful,36
621,Fred,17,32,75.2,46.1,71.0,73.4,Pass,Successful,36
622,Luke Shaw,23,32,71.4,77.9,81.8,87.6,Pass,Successful,36
623,Anthony Martial,9,32,79.3,85.1,87.7,56.1,Pass,Unsuccessful,36
624,Yerry Mina,13,31,10.8,40.1,15.2,48.8,Clearance,Successful,36
625,Abdoulaye Doucouré,16,31,16.8,49.7,0.0,0.0,BallRecovery,Successful,36
626,Abdoulaye Doucouré,16,31,18.0,50.3,27.1,86.3,Pass,Unsuccessful,36
627,Scott McTominay,39,32,71.9,23.9,0.0,0.0,Interception,Successful,36
628,Scott McTominay,39,32,72.8,21.5,0.0,0.0,BallRecovery,Successful,36
629,Scott McTominay,39,32,73.3,21.2,85.1,23.2,Pass,Successful,36
630,Mason Greenwood,11,32,92.2,18.7,88.9,7.7,Pass,Successful,36
631,Scott McTominay,39,32,88.9,7.7,92.3,59.1,Pass,Successful,36
632,Anthony Martial,9,32,91.8,55.5,0.0,0.0,Aerial,Successful,36
633,Ben Godfrey,22,31,8.2,44.5,0.0,0.0,Aerial,Unsuccessful,36
634,Anthony Martial,9,32,92.3,59.1,0.0,0.0,BallTouch,Unsuccessful,36
635,Allan,6,31,12.4,56.9,28.9,80.4,Clearance,Successful,36
636,Aaron Wan-Bissaka,29,32,75.2,27.2,90.0,0.0,Pass,Unsuccessful,36
637,Lucas Digne,12,31,16.4,100.0,35.8,96.4,Pass,Unsuccessful,37
638,Scott McTominay,39,32,64.9,5.2,0.0,0.0,Aerial,Successful,37
639,Salomón Rondón,33,31,35.1,94.8,0.0,0.0,Aerial,Unsuccessful,37
640,Scott McTominay,39,32,67.0,5.8,73.5,0.0,Pass,Unsuccessful,37
641,Lucas Digne,12,31,30.4,100.0,58.4,89.7,Pass,Successful,37
642,Salomón Rondón,33,31,56.6,89.1,0.0,0.0,Aerial,Successful,37
643,Scott McTominay,39,32,43.4,10.9,0.0,0.0,Aerial,Unsuccessful,37
644,Salomón Rondón,33,31,58.4,89.7,66.7,94.4,Pass,Unsuccessful,37
645,Aaron Wan-Bissaka,29,32,37.6,6.5,51.3,18.8,Pass,Successful,37
646,Bruno Fernandes,18,32,51.4,16.6,0.0,0.0,Aerial,Successful,37
647,Abdoulaye Doucouré,16,31,48.6,83.4,0.0,0.0,Aerial,Unsuccessful,37
648,Bruno Fernandes,18,32,51.3,18.8,52.6,29.5,Pass,Successful,37
649,Edinson Cavani,21,32,52.6,29.5,0.0,0.0,BallTouch,Successful,37
650,Fred,17,32,45.7,32.2,0.0,0.0,BallTouch,Successful,37
651,Edinson Cavani,21,32,44.4,30.6,0.0,0.0,Dispossessed,Successful,37
652,Abdoulaye Doucouré,16,31,55.6,69.4,0.0,0.0,Tackle,Successful,37
653,Andros Townsend,14,31,61.7,66.6,0.0,0.0,BallRecovery,Successful,37
654,Andros Townsend,14,31,70.4,64.2,72.2,40.7,Pass,Successful,37
655,Demarai Gray,11,31,69.8,29.6,0.0,0.0,TakeOn,Successful,37
656,Fred,17,32,30.2,70.4,0.0,0.0,Challenge,Unsuccessful,37
657,Demarai Gray,11,31,63.2,38.1,0.0,0.0,Foul,Successful,37
658,Bruno Fernandes,18,32,36.8,61.9,0.0,0.0,Foul,Unsuccessful,37
659,Demarai Gray,11,31,64.7,35.9,90.8,57.8,Pass,Successful,38
660,Yerry Mina,13,31,91.0,57.6,0.0,0.0,Aerial,Successful,38
661,Raphaël Varane,19,32,9.0,42.4,0.0,0.0,Aerial,Unsuccessful,38
662,Yerry Mina,13,31,90.8,57.8,0.0,0.0,MissedShots,Successful,38
663,David de Gea,1,32,1.6,41.0,0.0,0.0,Claim,Successful,38
664,David de Gea,1,32,15.1,43.4,72.4,80.7,Pass,Unsuccessful,38
665,Demarai Gray,11,31,33.3,17.8,33.5,1.9,Clearance,Successful,38
666,Mason Greenwood,11,32,74.8,96.6,63.4,76.3,Pass,Successful,38
667,Anthony Martial,9,32,68.2,71.3,66.9,54.8,Pass,Successful,38
668,Fred,17,32,67.1,53.9,67.8,31.3,Pass,Successful,38
669,Scott McTominay,39,32,69.5,26.0,77.2,5.0,Pass,Successful,39
